Kota,Tahun,DBH_PAJAK,DBH_SDA,DBH_Lainnya,DAU_Block_Grant,DAU_Earmark,DAK_Fisik,DAK_Nonfisik,PAD,ICT,KEMISKINAN (%),PENGANGGURAN (%),KETIMPANGAN,IPM
Kota Solok,2014,58.54,17.17,20.37,66.38,35.67,34.03,48.39,106.26,86.9,13.67,4.03,0.46,75.9
Kota Solok,2015,52.1,23.65,20.93,90.79,40.16,45.74,58.82,106.28,92.34,5.93,4.03,0.3,75.77
Kota Solok,2016,37.0,47.56,24.95,73.13,48.95,54.79,35.11,83.17,64.64,17.1,6.22,0.41,70.82
Kota Solok,2017,37.13,30.12,19.26,65.3,58.72,63.1,57.11,118.09,63.89,8.63,9.72,0.34,83.79
Kota Solok,2018,67.33,58.26,30.87,88.88,56.52,62.68,42.21,127.63,80.59,19.72,4.33,0.46,82.7
Kota Solok,2019,80.86,42.14,40.79,113.75,47.92,60.93,70.89,102.91,75.39,14.61,7.67,0.33,74.13
Kota Solok,2020,62.49,21.35,21.03,98.27,80.31,51.22,68.14,101.9,69.66,9.83,8.94,0.45,62.38
Kota Solok,2021,40.52,38.62,32.73,83.41,50.75,55.04,75.58,156.96,86.55,5.67,8.33,0.37,69.81
Kota Solok,2022,87.09,65.87,35.8,107.01,81.15,56.79,71.0,123.35,68.33,14.85,4.68,0.34,82.96
Kota Solok,2023,55.47,26.55,19.13,75.0,43.29,68.76,47.24,143.69,69.15,13.72,6.06,0.42,72.92
Kota Solok,2024,63.32,42.12,46.76,145.47,93.44,70.08,87.9,145.78,90.74,12.46,4.43,0.42,64.65
Kota Pariaman,2014,20.08,9.5,8.89,48.91,25.06,23.44,30.12,61.06,63.39,9.98,7.86,0.45,76.37
Kota Pariaman,2015,32.11,17.78,10.97,41.51,17.76,19.3,30.22,34.23,75.39,11.25,6.66,0.31,84.33
Kota Pariaman,2016,23.15,14.27,10.92,35.52,30.69,34.91,21.73,59.03,94.05,16.13,8.94,0.38,67.57
Kota Pariaman,2017,31.86,24.5,10.99,44.11,35.38,33.61,36.92,65.27,100.0,10.9,7.13,0.43,61.96
Kota Pariaman,2018,34.42,13.44,17.93,52.02,39.31,20.99,25.48,64.5,76.05,9.45,8.0,0.45,62.56
Kota Pariaman,2019,31.47,18.13,20.16,58.98,35.4,35.76,30.49,80.14,93.76,15.42,8.1,0.47,66.85
Kota Pariaman,2020,28.04,19.83,15.67,69.87,43.55,39.91,40.52,73.29,81.43,19.21,6.47,0.38,64.08
Kota Pariaman,2021,42.41,21.62,12.53,69.42,24.73,41.66,48.18,70.31,67.92,8.52,7.93,0.46,73.66
Kota Pariaman,2022,28.41,27.14,23.21,77.33,31.85,48.62,41.94,75.45,64.3,6.98,9.06,0.33,67.74
Kota Pariaman,2023,41.6,26.07,19.97,50.03,36.12,34.94,40.74,84.74,64.69,5.18,7.72,0.31,73.72
Kota Pariaman,2024,29.83,19.47,18.51,53.28,39.55,32.06,24.39,81.44,70.6,9.29,6.03,0.44,68.31
Kota Dumai,2014,62.73,36.84,26.96,84.93,38.68,45.76,56.49,71.07,89.84,9.17,4.93,0.39,84.51
Kota Dumai,2015,50.18,22.45,32.55,69.82,46.37,57.42,56.32,94.01,98.91,10.2,5.78,0.35,65.13
Kota Dumai,2016,44.94,27.9,29.34,105.16,56.81,38.15,38.1,138.25,72.87,9.46,3.64,0.42,75.59
Kota Dumai,2017,48.12,19.56,37.3,85.46,63.63,64.79,61.12,99.69,71.28,9.07,7.18,0.47,83.67
Kota Dumai,2018,41.19,51.53,30.97,102.82,42.89,56.62,60.67,119.84,63.61,11.12,3.11,0.42,66.33
Kota Dumai,2019,78.01,35.82,36.66,87.21,66.64,78.78,43.91,80.36,65.4,11.5,3.65,0.45,82.86
Kota Dumai,2020,51.83,38.48,35.48,82.73,65.45,66.43,67.43,102.28,85.88,15.71,3.64,0.34,81.94
Kota Dumai,2021,47.43,35.02,28.41,106.25,58.37,49.72,68.26,162.15,66.68,14.1,7.71,0.32,83.79
Kota Dumai,2022,91.0,66.69,48.71,128.26,60.51,81.5,87.86,175.22,100.0,12.82,3.48,0.37,83.02
Kota Dumai,2023,74.23,37.1,33.02,139.71,80.41,86.25,70.18,157.33,90.73,8.73,7.94,0.39,71.06
Kota Dumai,2024,99.3,28.93,46.79,117.57,74.05,52.41,66.73,154.13,83.95,5.84,6.44,0.49,62.63
Kota Pekanbaru,2014,183.03,84.07,64.11,238.9,118.37,131.11,184.03,416.15,83.37,17.21,7.8,0.32,67.23
Kota Pekanbaru,2015,143.55,116.57,88.18,270.68,155.48,210.0,205.49,300.39,62.19,18.71,9.67,0.37,68.86
Kota Pekanbaru,2016,236.25,167.51,67.1,291.22,189.06,182.95,145.31,452.47,99.48,15.15,8.87,0.47,78.71
Kota Pekanbaru,2017,202.86,83.18,105.4,274.49,213.36,154.87,140.76,293.55,79.94,5.03,8.03,0.45,72.87
Kota Pekanbaru,2018,134.04,64.22,72.11,357.62,153.59,167.53,136.74,302.43,72.35,12.79,7.25,0.35,61.44
Kota Pekanbaru,2019,166.13,96.86,131.91,352.17,209.57,190.57,192.35,414.83,80.61,15.45,7.92,0.33,72.5
Kota Pekanbaru,2020,262.33,158.68,107.46,296.68,225.18,156.68,187.54,320.56,84.83,15.38,4.44,0.38,82.39
Kota Pekanbaru,2021,204.38,124.6,69.0,378.55,144.91,199.83,211.55,441.46,100.0,15.33,4.77,0.3,78.09
Kota Pekanbaru,2022,287.72,207.06,144.43,389.42,208.98,280.74,227.42,370.89,92.1,17.82,9.18,0.39,61.89
Kota Pekanbaru,2023,277.09,215.37,92.45,317.57,288.44,213.47,236.88,604.75,78.58,6.0,7.54,0.31,69.39
Kota Pekanbaru,2024,266.66,278.51,145.01,431.79,226.97,251.23,255.32,397.61,90.36,10.54,6.25,0.44,76.42
Kota Jambi,2014,71.05,67.79,43.3,117.01,105.29,103.44,90.35,124.46,96.44,16.5,7.09,0.46,78.79
Kota Jambi,2015,94.62,39.91,52.08,163.33,108.59,72.92,74.48,235.65,98.63,16.25,9.36,0.45,74.93
Kota Jambi,2016,123.29,70.41,53.27,140.74,96.2,112.02,82.95,156.93,85.44,9.71,4.69,0.34,70.62
Kota Jambi,2017,107.58,49.11,38.44,192.47,98.71,130.05,118.47,256.46,99.47,9.08,7.85,0.35,83.48
Kota Jambi,2018,95.27,55.35,42.83,193.83,87.66,114.75,90.97,239.09,62.67,17.22,8.45,0.45,64.69
Kota Jambi,2019,111.68,57.08,47.08,133.51,82.8,67.95,123.52,163.46,78.49,13.36,3.27,0.43,68.08
Kota Jambi,2020,159.01,69.5,80.04,252.32,153.73,155.37,105.18,265.56,100.0,6.01,3.66,0.5,68.17
Kota Jambi,2021,153.31,115.24,84.76,190.2,88.28,119.75,95.89,173.52,86.76,10.41,8.49,0.41,67.82
Kota Jambi,2022,105.97,44.24,75.88,225.68,151.58,89.36,158.02,278.6,100.0,13.45,7.37,0.47,74.67
Kota Jambi,2023,173.51,109.54,62.85,235.97,121.08,107.11,139.18,336.12,97.86,18.94,5.39,0.41,65.29
Kota Jambi,2024,207.78,120.56,94.62,284.75,167.09,110.47,152.57,351.3,80.23,15.16,5.61,0.49,64.18
Kota Sungai Penuh,2014,84.88,57.45,31.89,107.84,81.82,79.99,58.98,170.56,62.26,11.83,7.67,0.47,64.24
Kota Sungai Penuh,2015,90.86,56.67,43.4,144.95,92.07,100.15,78.44,152.04,93.32,11.03,4.08,0.41,66.93
Kota Sungai Penuh,2016,91.1,62.89,38.98,118.08,59.37,81.9,62.41,184.93,100.0,18.21,9.18,0.43,65.28
Kota Sungai Penuh,2017,114.65,42.35,52.8,138.98,109.57,121.4,62.61,230.66,93.06,14.34,9.81,0.39,81.18
Kota Sungai Penuh,2018,73.13,31.05,54.09,154.27,101.45,106.13,59.43,151.76,95.38,6.07,4.48,0.35,71.73
Kota Sungai Penuh,2019,65.01,39.41,33.87,175.55,103.88,116.19,85.01,150.96,79.41,16.97,5.28,0.36,65.81
Kota Sungai Penuh,2020,73.32,49.91,48.84,120.35,70.63,105.56,66.92,156.69,100.0,17.97,4.08,0.32,72.11
Kota Sungai Penuh,2021,99.07,82.62,36.03,163.54,95.4,72.5,102.91,161.42,73.37,12.32,3.58,0.39,67.66
Kota Sungai Penuh,2022,82.19,71.43,56.7,211.9,122.42,129.64,138.18,289.61,88.04,9.71,6.77,0.47,84.74
Kota Sungai Penuh,2023,113.89,57.73,61.84,227.67,123.94,123.16,152.65,226.1,69.97,17.9,5.85,0.37,71.35
Kota Sungai Penuh,2024,93.34,57.73,80.88,180.34,129.96,130.92,123.49,272.69,87.45,8.45,6.87,0.37,76.54
Kota Palembang,2014,101.52,66.69,52.19,186.96,156.37,110.12,165.06,337.44,80.81,13.57,4.0,0.37,79.94
Kota Palembang,2015,97.02,94.32,82.34,249.54,104.88,149.29,108.93,217.45,82.61,18.11,4.75,0.35,60.02
Kota Palembang,2016,175.72,110.5,85.78,210.95,142.95,132.45,107.22,291.35,95.95,18.81,3.28,0.36,65.19
Kota Palembang,2017,180.27,91.44,69.25,260.76,109.05,140.49,135.08,301.69,66.01,19.99,8.39,0.38,80.69
Kota Palembang,2018,98.93,67.63,64.35,241.04,155.07,183.44,144.96,288.27,92.49,5.75,3.24,0.41,70.95
Kota Palembang,2019,134.38,60.78,83.88,259.05,121.52,199.67,128.7,372.41,89.8,9.22,4.21,0.38,80.04
Kota Palembang,2020,189.11,67.56,95.74,241.63,181.19,169.13,208.38,299.71,66.71,5.99,3.13,0.47,73.12
Kota Palembang,2021,154.95,106.08,64.65,371.75,209.36,242.67,158.85,404.57,77.9,15.18,5.22,0.47,83.68
Kota Palembang,2022,236.04,105.53,86.98,402.22,137.13,232.92,231.59,440.5,79.39,19.85,5.18,0.37,61.97
Kota Palembang,2023,153.27,102.51,111.49,356.79,144.12,166.82,234.42,258.12,99.85,6.39,4.14,0.42,63.76
Kota Palembang,2024,220.66,152.76,95.07,376.89,253.49,267.1,267.51,481.34,87.26,18.57,8.72,0.45,61.39
Kota Prabumulih,2014,133.54,73.15,56.29,231.56,152.17,153.26,105.47,271.5,75.86,9.07,4.33,0.34,68.55
Kota Prabumulih,2015,153.71,52.04,72.82,212.52,108.12,125.32,109.13,267.99,95.26,11.51,4.15,0.32,73.67
Kota Prabumulih,2016,123.88,113.66,76.45,270.23,167.86,144.41,152.74,349.98,67.39,10.99,5.29,0.3,80.66
Kota Prabumulih,2017,106.76,104.09,70.76,204.81,191.45,117.42,103.16,308.33,80.75,16.08,3.23,0.43,73.31
Kota Prabumulih,2018,103.99,94.72,57.48,260.59,161.3,175.92,111.72,349.38,81.52,11.47,5.43,0.31,61.32
Kota Prabumulih,2019,153.04,76.26,84.71,236.48,165.6,142.67,191.41,382.23,81.69,12.16,5.46,0.37,80.14
Kota Prabumulih,2020,120.17,58.11,72.89,246.7,182.97,121.38,137.26,359.48,87.4,17.35,5.69,0.39,67.58
Kota Prabumulih,2021,137.54,176.29,103.52,311.27,126.97,181.43,173.09,285.56,64.98,14.85,9.8,0.41,77.87
Kota Prabumulih,2022,135.75,59.02,77.22,281.38,159.13,103.11,129.72,296.97,67.45,11.05,8.84,0.46,75.3
Kota Prabumulih,2023,139.23,67.2,75.14,267.65,185.87,183.91,118.69,309.51,70.81,7.73,4.1,0.47,61.05
Kota Prabumulih,2024,136.12,160.72,90.71,260.0,175.06,201.75,228.16,284.41,71.35,18.29,9.54,0.48,75.89
Kota Pagar Alam,2014,96.72,56.92,46.29,134.03,95.57,100.7,63.28,202.33,95.87,13.1,8.91,0.39,69.48
Kota Pagar Alam,2015,74.23,79.75,44.02,149.15,77.63,93.32,78.62,123.31,87.01,9.08,3.04,0.5,84.14
Kota Pagar Alam,2016,103.73,50.76,50.15,168.38,116.84,84.04,107.03,151.96,68.14,19.85,3.18,0.42,76.49
Kota Pagar Alam,2017,73.21,93.99,38.59,171.37,79.89,85.41,101.05,185.2,67.86,7.4,4.2,0.38,78.93
Kota Pagar Alam,2018,77.52,63.86,39.34,144.19,118.82,114.58,83.16,176.44,68.09,5.36,8.84,0.49,63.39
Kota Pagar Alam,2019,120.6,92.07,45.81,132.36,67.09,101.59,89.9,132.79,67.21,13.75,3.08,0.46,67.66
Kota Pagar Alam,2020,99.46,56.21,61.8,159.31,79.85,107.04,79.62,238.47,70.76,10.62,6.85,0.31,70.65
Kota Pagar Alam,2021,148.45,59.55,50.4,231.62,158.71,90.05,119.22,219.92,84.44,18.06,3.58,0.34,78.81
Kota Pagar Alam,2022,97.59,61.6,43.62,156.56,100.03,75.93,102.78,236.09,67.01,16.4,4.08,0.33,66.7
Kota Pagar Alam,2023,106.89,89.53,40.1,154.41,105.63,128.8,90.57,249.14,87.36,8.9,9.2,0.48,67.43
Kota Pagar Alam,2024,104.22,54.69,61.75,208.7,123.55,134.72,103.16,170.78,100.0,16.07,5.52,0.43,66.77
Kota Lubuk Linggau,2014,38.44,49.49,32.87,92.89,55.17,52.46,62.05,85.75,62.44,12.02,7.34,0.38,70.69
Kota Lubuk Linggau,2015,54.08,46.69,20.77,101.45,58.4,63.04,53.8,123.05,92.9,5.24,8.73,0.31,82.25
Kota Lubuk Linggau,2016,49.87,27.37,34.02,86.82,71.89,42.5,43.39,152.54,68.03,15.11,8.93,0.36,76.91
Kota Lubuk Linggau,2017,62.2,45.88,30.56,94.25,49.51,68.62,47.58,131.33,76.29,8.5,7.38,0.45,65.47
Kota Lubuk Linggau,2018,41.15,40.24,33.65,74.41,63.1,48.81,53.8,140.37,86.42,9.98,6.26,0.3,62.04
Kota Lubuk Linggau,2019,40.24,44.3,27.92,99.77,45.99,50.74,65.14,153.9,81.74,5.76,9.23,0.42,74.1
Kota Lubuk Linggau,2020,46.23,25.5,34.6,101.19,82.88,60.8,49.42,148.25,63.58,9.4,6.68,0.44,82.51
Kota Lubuk Linggau,2021,82.09,57.76,47.64,112.42,49.02,62.28,59.64,162.75,93.69,14.51,7.15,0.3,78.22
Kota Lubuk Linggau,2022,72.82,46.21,29.36,93.35,47.86,80.1,83.9,144.3,84.62,6.55,5.81,0.45,79.5
Kota Lubuk Linggau,2023,41.36,50.13,28.05,93.24,41.89,63.7,76.56,161.92,68.5,13.49,6.6,0.32,73.72
Kota Lubuk Linggau,2024,76.31,42.2,29.44,99.47,62.43,52.07,55.88,188.72,84.76,11.66,6.72,0.47,84.89
Kota Bengkulu,2014,70.74,42.95,37.39,142.47,89.68,70.11,60.41,174.04,70.77,6.92,7.05,0.44,77.52
Kota Bengkulu,2015,106.35,56.78,49.13,148.73,67.38,58.24,72.94,163.88,61.2,14.26,8.95,0.34,63.14
Kota Bengkulu,2016,68.26,60.28,48.84,156.56,66.9,65.12,68.1,195.36,69.25,13.17,4.64,0.43,80.5
Kota Bengkulu,2017,85.25,67.68,35.63,131.33,91.83,108.0,103.0,180.18,66.99,15.95,5.55,0.43,71.65
Kota Bengkulu,2018,102.11,63.39,40.76,174.69,61.26,78.95,63.42,212.0,86.17,15.53,5.32,0.44,69.9
Kota Bengkulu,2019,102.86,64.53,68.43,159.21,79.25,112.08,139.3,194.92,94.06,5.93,5.38,0.4,64.05
Kota Bengkulu,2020,144.51,68.84,49.0,173.66,80.66,136.23,102.34,200.7,66.61,14.9,6.09,0.43,61.54
Kota Bengkulu,2021,153.28,90.74,77.2,169.94,116.7,126.53,124.94,221.4,88.0,10.07,3.89,0.38,64.07
Kota Bengkulu,2022,97.47,45.04,62.58,209.25,150.93,127.15,108.48,290.75,79.48,13.1,3.55,0.41,82.7
Kota Bengkulu,2023,96.33,47.82,42.78,180.79,118.58,80.3,144.13,260.86,75.11,13.8,8.8,0.32,71.92
Kota Bengkulu,2024,153.83,107.97,53.72,247.4,94.58,157.74,165.8,198.05,91.26,15.83,3.28,0.38,72.91
Kota Bandar Lampung,2014,89.01,52.23,48.16,157.04,54.4,105.52,57.81,193.14,74.24,9.21,3.93,0.39,76.1
Kota Bandar Lampung,2015,58.54,61.03,52.8,132.28,67.51,80.07,58.19,202.1,84.57,17.4,7.12,0.37,79.99
Kota Bandar Lampung,2016,107.54,66.64,52.55,153.05,83.29,115.32,90.77,189.07,64.65,8.31,7.38,0.41,64.62
Kota Bandar Lampung,2017,91.43,72.02,43.41,126.9,94.98,61.56,82.17,132.6,70.73,7.77,4.42,0.38,61.28
Kota Bandar Lampung,2018,94.58,61.52,43.26,177.63,71.66,94.2,66.45,134.03,68.95,13.61,6.96,0.48,73.95
Kota Bandar Lampung,2019,77.47,44.18,38.56,161.44,113.86,121.57,77.24,287.51,70.63,17.63,5.08,0.32,64.25
Kota Bandar Lampung,2020,69.69,63.2,38.65,146.31,123.44,104.5,120.93,141.78,66.3,10.73,6.88,0.32,60.1
Kota Bandar Lampung,2021,124.23,68.91,56.36,182.76,77.48,101.04,89.06,166.22,81.94,19.35,7.2,0.45,67.88
Kota Bandar Lampung,2022,88.79,42.85,42.32,200.82,120.42,111.05,105.89,276.01,67.99,6.09,4.96,0.37,79.56
Kota Bandar Lampung,2023,113.31,125.52,83.6,203.19,127.81,128.75,180.68,215.71,100.0,16.99,5.34,0.45,70.5
Kota Bandar Lampung,2024,150.9,107.39,76.84,169.59,139.33,93.87,116.58,255.03,96.23,11.04,6.64,0.5,63.38
Kota Metro,2014,64.6,37.56,55.57,164.19,108.74,113.55,68.9,154.57,66.84,15.04,6.39,0.38,68.95
Kota Metro,2015,94.83,39.81,44.29,153.69,94.52,72.84,104.87,123.41,97.71,10.32,8.46,0.41,66.53
Kota Metro,2016,100.4,83.03,55.57,167.19,95.32,72.58,80.79,181.8,83.6,13.99,6.6,0.36,60.16
Kota Metro,2017,84.25,80.91,33.55,169.39,127.23,76.96,96.44,143.05,91.72,14.39,6.85,0.38,73.03
Kota Metro,2018,88.34,38.59,68.74,190.32,139.62,117.93,133.68,211.16,74.77,16.25,9.39,0.41,64.52
Kota Metro,2019,80.69,50.28,43.97,172.01,106.9,96.03,108.75,145.62,82.03,6.32,4.2,0.4,65.35
Kota Metro,2020,97.57,91.4,35.32,184.6,116.28,125.32,134.67,142.16,67.99,7.31,9.2,0.39,74.11
Kota Metro,2021,135.8,115.8,80.76,220.0,104.11,152.03,84.86,199.14,75.39,18.46,4.79,0.34,63.45
Kota Metro,2022,134.49,105.33,55.54,247.27,157.79,117.68,126.47,216.91,70.08,19.65,7.52,0.49,67.58
Kota Metro,2023,161.32,108.86,89.79,218.67,103.3,152.72,157.98,287.78,83.38,8.1,6.53,0.36,70.69
Kota Metro,2024,157.93,66.26,63.59,205.35,108.47,161.39,172.78,248.0,76.27,16.27,9.28,0.47,64.57
Kota Bandung,2014,158.37,66.51,87.87,249.39,147.64,155.73,213.9,443.56,62.53,9.54,9.01,0.47,79.12
Kota Bandung,2015,205.64,175.8,102.35,283.66,182.56,200.21,183.77,272.5,73.58,9.68,8.62,0.47,63.43
Kota Bandung,2016,181.38,158.65,119.56,383.82,265.59,179.21,253.68,308.94,71.4,15.58,8.19,0.44,66.31
Kota Bandung,2017,168.23,79.68,123.6,356.29,266.14,199.11,168.15,528.64,92.08,13.23,4.32,0.44,72.78
Kota Bandung,2018,211.63,192.48,132.52,392.49,160.13,266.38,242.07,491.67,80.65,10.44,9.15,0.45,62.81
Kota Bandung,2019,272.66,79.09,141.75,387.25,235.8,183.65,180.5,561.42,77.74,9.47,8.43,0.38,63.48
Kota Bandung,2020,205.23,196.13,90.98,313.27,178.63,202.08,191.46,499.67,97.9,12.58,6.55,0.33,84.57
Kota Bandung,2021,158.02,171.24,117.44,355.56,209.38,262.8,176.04,535.96,69.44,14.73,5.93,0.39,66.42
Kota Bandung,2022,272.11,147.64,143.53,538.82,258.15,345.46,241.92,379.41,100.0,8.06,5.93,0.34,60.01
Kota Bandung,2023,365.02,245.93,115.59,419.76,211.35,341.3,381.84,566.39,68.46,6.79,6.59,0.37,69.37
Kota Bandung,2024,319.66,113.56,96.3,556.9,229.27,196.0,221.3,386.46,90.03,10.88,8.62,0.37,71.1
Kota Bekasi,2014,199.22,146.2,54.04,297.32,156.33,212.85,158.74,425.29,65.59,16.32,4.74,0.41,84.8
Kota Bekasi,2015,125.84,138.34,77.15,230.14,160.94,141.59,208.57,306.7,68.36,17.41,3.0,0.36,66.03
Kota Bekasi,2016,122.1,78.54,88.9,261.91,162.01,157.38,214.42,435.57,67.95,12.39,5.31,0.32,83.84
Kota Bekasi,2017,148.72,91.46,75.66,248.04,204.36,128.64,187.37,257.6,88.15,6.06,9.37,0.34,80.53
Kota Bekasi,2018,139.66,188.59,80.79,370.54,151.45,240.22,131.29,391.78,77.26,16.54,9.54,0.48,80.49
Kota Bekasi,2019,175.38,114.68,94.25,347.63,203.76,225.88,169.62,494.67,79.15,7.51,5.17,0.4,79.91
Kota Bekasi,2020,244.13,97.29,114.76,309.69,204.34,209.7,154.26,378.01,80.12,19.33,9.68,0.37,61.08
Kota Bekasi,2021,181.07,188.29,74.21,359.41,144.19,257.68,179.69,461.76,81.17,10.14,7.39,0.34,63.65
Kota Bekasi,2022,330.48,239.11,140.06,483.97,184.23,230.03,226.4,563.76,93.92,10.34,4.04,0.42,80.36
Kota Bekasi,2023,168.0,103.37,91.8,341.24,243.74,237.53,251.65,404.31,75.95,17.36,4.43,0.39,80.02
Kota Bekasi,2024,155.38,193.71,94.0,375.73,143.55,236.6,184.25,295.6,80.62,14.15,4.69,0.38,62.01
Kota Bogor,2014,39.11,50.63,18.05,89.14,40.31,46.93,69.12,83.38,96.26,19.49,4.44,0.45,73.67
Kota Bogor,2015,59.84,39.84,23.02,83.42,73.8,51.13,52.84,135.54,65.44,10.08,9.66,0.45,74.94
Kota Bogor,2016,43.16,31.13,30.12,91.56,71.7,78.91,58.54,110.36,85.91,19.42,6.11,0.4,68.79
Kota Bogor,2017,68.9,55.43,39.78,102.84,62.96,81.18,59.87,157.56,67.6,19.11,7.36,0.45,80.13
Kota Bogor,2018,64.22,25.38,32.27,123.09,66.77,80.51,62.47,150.51,86.88,7.8,8.25,0.41,65.1
Kota Bogor,2019,74.52,41.88,25.91,126.46,73.1,83.41,60.82,125.73,99.12,18.47,6.68,0.44,66.3
Kota Bogor,2020,51.64,32.45,23.0,93.73,90.88,57.1,76.45,169.07,68.39,13.26,4.07,0.45,75.01
Kota Bogor,2021,91.91,76.62,40.86,121.61,85.61,55.49,98.54,116.26,74.46,9.92,8.71,0.42,69.84
Kota Bogor,2022,92.33,41.82,46.54,103.95,88.46,91.98,58.84,142.42,65.68,7.48,7.95,0.41,75.88
Kota Bogor,2023,55.93,24.99,30.51,118.14,85.75,76.93,66.25,180.29,97.03,15.79,9.51,0.41,66.47
Kota Bogor,2024,76.3,27.46,28.79,111.94,69.15,70.75,51.55,121.97,80.61,14.26,9.79,0.45,83.07
Kota Cirebon,2014,72.1,70.57,49.1,157.42,90.11,92.47,80.72,183.8,64.43,7.96,8.64,0.34,62.12
Kota Cirebon,2015,104.94,59.34,40.4,161.88,85.24,122.31,121.67,190.14,65.54,9.92,8.16,0.31,71.87
Kota Cirebon,2016,125.51,33.46,50.74,179.1,97.04,70.93,128.9,198.4,92.47,14.21,4.66,0.4,70.73
Kota Cirebon,2017,71.83,86.85,40.25,142.53,97.72,114.85,68.96,204.77,71.07,6.79,3.26,0.31,80.85
Kota Cirebon,2018,70.07,62.88,61.81,151.67,95.31,69.72,97.15,211.53,91.14,13.56,5.33,0.36,62.67
Kota Cirebon,2019,80.48,92.71,71.96,217.39,136.51,117.17,124.49,188.14,90.39,14.46,6.19,0.4,78.94
Kota Cirebon,2020,97.38,105.26,39.02,183.65,141.33,118.98,114.26,184.68,72.52,10.15,8.96,0.41,72.87
Kota Cirebon,2021,72.63,104.63,49.22,186.1,77.19,120.32,138.15,225.28,72.48,6.89,7.07,0.45,70.16
Kota Cirebon,2022,157.8,133.93,77.69,203.99,125.35,115.03,182.7,336.98,86.86,15.15,5.11,0.34,78.91
Kota Cirebon,2023,106.48,96.99,45.18,202.06,127.57,99.72,172.4,210.05,85.4,6.96,4.42,0.45,70.64
Kota Cirebon,2024,95.06,49.76,67.31,262.25,175.53,101.18,143.23,356.27,71.65,10.82,8.81,0.33,83.38
Kota Depok,2014,100.69,51.85,58.2,136.66,80.01,102.15,106.02,231.75,80.24,8.07,8.59,0.45,61.59
Kota Depok,2015,80.37,50.4,62.12,165.58,107.62,123.84,86.29,225.78,61.45,11.52,9.09,0.34,83.69
Kota Depok,2016,84.93,80.44,44.63,167.02,92.5,111.57,78.66,135.56,98.36,9.5,6.32,0.33,68.87
Kota Depok,2017,71.89,73.65,64.05,146.28,108.63,113.18,96.49,231.3,90.13,11.16,6.53,0.3,77.29
Kota Depok,2018,77.25,64.59,73.61,180.09,111.74,142.09,127.75,235.39,89.46,16.97,9.05,0.39,71.88
Kota Depok,2019,143.61,87.41,39.55,209.05,108.11,78.04,113.16,206.96,85.87,18.17,4.43,0.47,73.94
Kota Depok,2020,134.96,69.31,44.18,169.02,127.16,89.31,81.63,154.56,80.82,9.47,8.46,0.39,65.69
Kota Depok,2021,96.83,104.62,48.79,217.11,107.91,85.67,137.4,212.21,100.0,15.65,9.89,0.31,62.42
Kota Depok,2022,115.92,61.88,47.0,182.85,160.48,102.59,132.73,290.46,80.18,11.43,3.19,0.46,60.26
Kota Depok,2023,180.95,89.16,73.38,236.74,132.77,180.39,181.01,255.34,100.0,14.23,9.49,0.49,72.72
Kota Depok,2024,113.02,128.94,50.5,228.02,113.36,113.05,124.18,353.33,72.51,5.82,7.05,0.32,63.86
Kota Sukabumi,2014,59.9,38.85,25.86,109.59,93.57,92.53,63.52,149.49,94.8,18.64,3.04,0.46,83.71
Kota Sukabumi,2015,56.67,71.28,37.51,98.28,61.37,70.75,82.61,169.14,84.09,19.93,5.01,0.41,73.33
Kota Sukabumi,2016,60.56,76.54,48.0,129.42,83.05,63.57,79.97,175.61,62.99,12.73,9.93,0.42,69.27
Kota Sukabumi,2017,66.78,50.46,38.42,138.74,101.65,84.67,102.35,179.88,92.72,10.13,8.67,0.35,65.61
Kota Sukabumi,2018,72.06,29.09,47.1,143.51,82.61,112.41,89.79,212.99,75.1,7.09,6.98,0.47,74.58
Kota Sukabumi,2019,85.88,37.08,45.63,149.87,116.86,77.86,123.1,245.12,85.26,8.71,5.44,0.48,84.17
Kota Sukabumi,2020,80.43,62.48,51.38,138.43,105.73,64.03,63.89,168.82,76.3,10.3,5.21,0.4,68.02
Kota Sukabumi,2021,76.06,85.67,40.98,142.0,91.58,115.2,72.12,195.32,92.8,15.74,7.25,0.32,76.92
Kota Sukabumi,2022,90.44,70.23,34.31,161.01,58.38,104.47,82.74,137.98,72.76,7.01,9.67,0.31,64.98
Kota Sukabumi,2023,105.45,68.0,36.63,149.03,80.62,78.98,91.84,221.81,68.39,8.26,5.57,0.38,84.41
Kota Sukabumi,2024,151.85,62.56,45.05,195.44,106.86,127.03,149.96,313.51,84.45,17.67,5.52,0.44,67.82
Kota Tasikmalaya,2014,32.75,29.49,21.56,87.36,57.29,42.3,58.76,83.94,96.59,11.69,8.09,0.44,84.68
Kota Tasikmalaya,2015,55.73,37.2,32.1,72.29,58.73,52.57,42.73,98.86,83.8,10.01,7.06,0.48,74.23
Kota Tasikmalaya,2016,54.97,19.95,22.31,90.19,47.42,42.77,54.44,95.75,61.72,8.87,6.25,0.33,83.19
Kota Tasikmalaya,2017,67.36,23.91,35.03,110.77,69.74,43.94,64.85,144.72,69.45,13.66,7.52,0.39,73.22
Kota Tasikmalaya,2018,57.85,20.52,25.33,80.93,54.55,40.01,59.71,126.72,67.74,7.45,3.73,0.33,81.93
Kota Tasikmalaya,2019,59.89,24.77,33.67,117.07,74.63,66.37,43.89,90.82,67.4,5.74,4.8,0.33,66.5
