Kota,Tahun,DBH_PAJAK,DBH_SDA,DBH_Lainnya,DAU_Grant,DAU_Earmark,DAK_Fisik,DAK_Nonfisik,PAD,ICT,bm_pendidikan,bm_kesehatan,bm_perumahan,bm_lingkungan,bm_ekonomi,bm_infrastruktur,bm_pariwisata,bm_perlindungan_sosial,KEMISKINAN,PENGANGGURAN,KETIMPANGAN,IPM,PE
Kota Gunungsitoli,2016,139.28,70.22,39.44,181.1,103.37,131.09,78.05,211.56,75.13,285.73,56.15,109.36,237.49,111.46,139.92,217.33,276.01,7.25,5.27,0.45,71.9,7.68
Kota Gunungsitoli,2017,98.37,67.68,62.96,204.02,137.94,126.06,92.8,238.18,94.43,130.8,55.53,178.09,277.06,139.53,221.81,272.07,130.05,11.56,4.78,0.47,60.96,2.82
Kota Gunungsitoli,2018,118.53,92.23,67.29,234.8,132.74,130.89,86.51,246.29,97.67,179.7,130.9,76.06,239.68,297.38,128.21,164.99,217.56,7.25,8.16,0.4,77.01,4.99
Kota Gunungsitoli,2019,75.5,84.65,37.31,144.15,70.44,136.17,120.93,188.36,82.96,225.75,172.16,146.13,199.29,221.08,65.23,201.74,96.98,9.45,5.45,0.45,76.53,3.29
Kota Gunungsitoli,2020,87.16,44.42,61.63,205.22,93.91,75.79,80.34,292.17,95.47,140.91,242.6,171.92,213.53,287.25,225.39,97.12,206.2,9.43,8.38,0.42,69.55,2.36
Kota Gunungsitoli,2021,86.03,85.55,68.08,202.84,117.41,79.94,151.03,276.0,92.82,292.95,220.82,213.06,272.28,85.64,52.46,251.24,134.11,9.39,9.86,0.42,74.56,3.95
Kota Gunungsitoli,2022,172.18,109.9,53.6,222.21,183.23,116.38,130.4,272.18,98.82,290.61,161.48,287.63,194.7,145.53,152.3,291.83,102.8,11.59,7.29,0.49,66.02,2.86
Kota Gunungsitoli,2023,93.31,108.07,64.12,178.13,141.51,145.05,143.89,299.06,77.33,112.95,118.41,200.16,208.1,188.68,132.34,117.15,128.3,8.78,8.29,0.39,81.05,6.26
Kota Gunungsitoli,2024,181.93,118.41,60.29,260.65,203.26,198.42,106.84,238.59,85.35,174.31,299.28,235.9,89.12,69.19,223.34,173.71,94.71,6.98,8.08,0.46,65.34,5.2
Kab. Lima Puluh Kota,2014,34.86,20.97,16.0,50.46,26.1,31.48,33.98,75.37,78.62,125.22,156.55,176.57,168.48,51.05,241.56,71.53,275.48,14.54,8.33,0.33,71.54,2.86
Kab. Lima Puluh Kota,2015,25.6,25.18,20.45,43.1,28.77,36.96,24.72,63.85,72.02,121.21,162.85,208.53,229.1,217.61,126.02,189.78,149.3,16.0,7.31,0.34,68.88,2.06
Kab. Lima Puluh Kota,2016,35.46,11.53,20.09,46.43,39.83,27.43,44.67,62.42,61.66,59.22,90.91,67.73,117.74,210.45,252.91,175.7,111.32,9.9,4.04,0.36,81.92,6.85
Kab. Lima Puluh Kota,2017,34.11,23.65,21.47,71.96,39.72,34.69,35.22,84.55,94.15,202.39,248.7,113.6,100.56,152.7,123.48,86.11,162.1,5.05,7.34,0.37,79.85,3.06
Kab. Lima Puluh Kota,2018,35.22,21.75,18.21,45.79,35.04,34.63,34.61,71.12,67.14,175.67,223.42,140.46,128.46,172.41,161.58,160.52,130.13,15.15,8.63,0.35,80.63,5.64
Kab. Lima Puluh Kota,2019,27.07,14.04,16.77,70.0,42.92,44.96,38.14,72.4,92.45,62.87,105.19,168.12,110.38,153.86,231.75,133.53,236.1,7.21,5.3,0.39,62.22,4.02
Kab. Lima Puluh Kota,2020,38.56,29.82,24.11,70.77,39.63,34.29,39.48,86.17,86.42,119.66,70.6,61.41,103.73,56.0,223.23,180.46,292.8,6.78,5.87,0.47,69.6,5.51
Kab. Lima Puluh Kota,2021,44.08,19.0,18.91,64.82,28.49,28.44,50.86,70.69,65.7,277.07,220.12,85.01,156.21,133.84,296.84,196.41,159.51,12.77,5.09,0.49,66.48,3.89
Kab. Lima Puluh Kota,2022,51.47,36.88,16.3,77.03,40.08,40.76,31.15,59.4,86.29,109.89,213.63,119.2,276.96,94.27,106.29,52.12,265.26,15.92,6.48,0.39,78.24,2.52
Kab. Lima Puluh Kota,2023,37.15,35.59,18.2,88.19,53.11,62.72,34.26,67.77,96.11,86.22,118.31,292.88,176.76,74.61,215.58,240.25,191.47,9.23,4.83,0.35,82.66,3.34
Kab. Lima Puluh Kota,2024,34.54,34.2,19.68,75.39,28.93,40.39,28.07,57.71,84.59,172.36,287.72,132.84,96.98,289.18,202.42,228.25,89.31,18.6,3.97,0.41,70.28,3.13
Kota Bukit Tinggi,2014,44.85,51.08,43.09,112.38,85.01,46.19,62.28,110.63,91.81,296.41,87.76,170.51,69.24,199.84,278.77,141.57,222.66,15.96,9.87,0.35,76.35,4.57
Kota Bukit Tinggi,2015,70.9,43.66,44.66,118.15,61.12,50.46,52.14,111.0,77.81,110.51,158.08,99.02,224.04,232.16,89.09,63.23,178.36,8.76,8.95,0.41,73.08,5.95
Kota Bukit Tinggi,2016,86.04,56.56,24.69,125.25,71.39,50.03,67.45,137.35,62.57,218.03,285.9,202.7,145.7,128.84,237.95,238.73,212.65,7.49,9.62,0.47,76.73,3.58
Kota Bukit Tinggi,2017,70.84,57.76,38.77,103.48,75.9,90.65,73.22,105.57,95.29,240.4,154.93,120.17,255.46,148.29,192.07,288.79,272.42,16.79,4.41,0.35,64.12,2.07
Kota Bukit Tinggi,2018,89.39,51.87,30.65,146.44,95.64,95.18,63.03,147.69,77.57,109.41,209.63,101.75,214.88,109.23,118.67,110.04,160.11,19.77,8.4,0.31,61.63,5.11
Kota Bukit Tinggi,2019,103.85,56.5,40.73,114.52,90.12,99.11,75.08,193.16,68.01,232.05,149.4,179.14,249.06,74.24,168.61,130.88,275.29,19.47,4.43,0.4,67.18,5.63
Kota Bukit Tinggi,2020,97.32,69.99,55.46,147.81,118.14,94.57,71.43,209.24,85.74,141.95,118.55,51.38,117.99,94.76,133.44,95.95,237.67,16.9,5.22,0.47,82.65,7.78
Kota Bukit Tinggi,2021,109.38,35.33,33.14,120.45,104.44,91.22,63.53,158.85,88.98,208.08,295.99,51.92,223.09,249.38,194.83,194.23,172.15,14.23,3.58,0.48,80.09,5.54
Kota Bukit Tinggi,2022,121.1,56.5,61.07,164.24,100.63,71.78,115.85,175.76,100.0,208.38,152.33,104.77,116.02,219.39,272.25,88.71,200.81,7.43,3.09,0.41,73.18,4.83
Kota Bukit Tinggi,2023,130.14,39.89,59.6,150.59,127.93,125.23,106.08,235.48,87.28,183.94,273.52,59.18,284.77,186.73,192.33,139.05,131.4,9.72,6.3,0.46,71.48,5.44
Kota Bukit Tinggi,2024,92.78,82.48,41.46,134.98,106.31,113.39,68.34,153.98,80.27,72.57,107.49,77.01,209.09,168.77,207.93,224.25,295.9,7.13,5.44,0.39,78.72,7.57
Kota Padang Panjang,2014,31.14,30.88,16.94,68.59,37.62,25.93,38.59,61.02,74.24,258.83,103.28,134.72,131.13,280.61,179.69,190.03,216.84,15.29,3.49,0.33,81.39,6.97
Kota Padang Panjang,2015,43.72,18.54,19.55,64.11,36.0,31.06,28.86,49.17,60.85,130.2,57.78,250.65,117.38,68.18,62.79,146.62,60.96,9.56,7.57,0.49,81.78,3.94
Kota Padang Panjang,2016,46.61,30.36,16.42,75.76,43.54,40.67,28.95,75.42,62.29,96.63,212.92,193.01,97.73,120.15,108.21,155.06,131.66,11.91,9.05,0.41,69.51,3.42
Kota Padang Panjang,2017,31.6,26.25,14.82,77.96,54.57,36.42,52.87,73.53,96.09,60.19,142.13,178.17,223.66,137.48,173.0,190.53,205.83,18.66,8.28,0.46,60.45,3.58
Kota Padang Panjang,2018,52.12,24.29,27.61,68.87,56.53,33.58,51.43,93.01,80.0,197.72,266.09,123.37,104.68,245.61,127.56,51.47,64.08,6.45,4.69,0.3,71.72,5.03
Kota Padang Panjang,2019,43.8,21.85,17.81,75.18,28.73,52.15,50.76,91.42,82.09,219.39,168.3,282.94,198.83,298.13,95.44,69.63,55.97,13.9,9.25,0.34,61.97,6.46
Kota Padang Panjang,2020,49.84,14.85,21.98,83.19,51.53,42.25,29.54,101.72,69.69,54.15,292.05,149.25,116.16,110.17,176.03,270.31,162.51,13.98,3.8,0.32,82.74,5.02
Kota Padang Panjang,2021,59.85,45.12,25.71,82.36,46.8,43.09,46.94,116.07,79.93,178.02,96.38,71.77,215.49,268.58,130.7,69.47,133.17,14.03,9.25,0.39,75.18,2.41
Kota Padang Panjang,2022,53.61,40.51,20.84,84.62,37.19,46.63,50.11,111.3,87.22,106.62,267.16,204.27,253.73,257.66,114.53,226.7,159.57,19.26,7.2,0.45,72.66,6.34
Kota Padang Panjang,2023,37.54,26.44,23.87,86.66,36.65,39.96,44.75,138.21,80.16,211.29,244.15,78.46,244.51,106.16,166.0,280.01,115.67,9.97,6.37,0.34,75.27,6.84
Kota Padang Panjang,2024,38.03,32.03,15.84,63.25,38.41,32.66,34.91,84.36,87.26,93.59,242.73,136.31,240.21,149.83,83.32,117.67,91.18,17.04,7.0,0.4,67.34,3.74
Kota Padang,2014,73.13,75.15,37.46,157.76,101.4,126.08,100.47,229.02,86.35,222.73,261.2,176.85,96.93,152.42,281.94,142.62,222.29,19.89,3.92,0.35,69.86,5.98
Kota Padang,2015,99.22,98.98,60.26,183.38,92.07,128.25,137.48,256.13,63.41,146.68,240.26,268.56,72.1,294.56,266.93,192.23,178.64,5.02,7.45,0.31,66.44,4.56
Kota Padang,2016,112.97,83.59,39.25,167.92,102.58,96.44,78.97,199.91,62.16,284.18,206.56,173.39,224.74,95.22,226.91,270.43,100.04,16.27,3.5,0.32,68.87,7.33
Kota Padang,2017,138.01,97.49,56.32,214.52,83.55,135.32,158.25,266.75,99.25,84.38,82.81,225.56,142.09,249.79,76.55,285.48,129.9,18.11,8.07,0.32,82.56,7.07
Kota Padang,2018,113.09,47.34,37.29,178.56,95.48,109.55,116.28,153.9,77.87,135.27,58.13,298.2,158.09,133.55,243.97,234.89,197.95,6.85,6.91,0.37,78.23,5.15
Kota Padang,2019,160.86,103.94,62.32,232.98,111.16,113.86,155.93,252.14,80.97,78.37,280.21,82.87,57.79,232.72,251.99,71.65,68.06,16.98,8.76,0.47,82.92,6.15
Kota Padang,2020,113.13,92.83,58.81,223.12,146.3,144.83,117.91,200.19,100.0,281.17,204.16,118.68,114.89,155.0,241.94,217.29,86.86,11.46,4.0,0.48,68.65,7.3
Kota Padang,2021,83.11,92.87,66.34,189.71,86.86,114.25,106.28,271.87,100.0,269.33,249.13,148.64,58.42,194.59,78.49,152.58,68.31,14.09,5.55,0.34,84.7,4.97
Kota Padang,2022,156.49,59.37,68.85,187.94,139.55,182.05,128.31,192.62,69.76,114.49,170.38,155.46,269.8,258.15,210.98,167.68,253.08,5.46,5.72,0.33,60.58,3.88
Kota Padang,2023,155.84,84.33,101.51,226.11,208.99,140.4,201.77,342.55,65.93,215.0,79.33,152.76,110.85,251.04,258.58,62.29,238.1,17.4,9.89,0.36,84.03,6.52
Kota Padang,2024,133.62,81.05,74.33,207.76,149.85,148.69,169.93,353.69,69.88,254.31,81.3,276.9,189.33,266.61,194.34,97.77,238.33,11.61,5.12,0.35,64.87,3.32
Kota Payakumbuh,2014,14.17,16.35,8.69,26.18,17.63,12.71,16.11,36.27,62.85,188.8,221.39,228.51,59.74,64.9,211.6,247.63,229.08,12.33,5.81,0.5,82.01,4.33
Kota Payakumbuh,2015,18.51,13.22,7.08,28.25,12.26,17.4,18.2,28.96,94.01,182.41,157.58,201.98,216.71,223.01,164.59,163.49,217.35,19.46,9.37,0.44,73.33,7.19
Kota Payakumbuh,2016,14.43,16.47,7.18,35.66,16.28,23.96,24.81,29.33,93.32,110.46,100.13,127.34,130.76,85.0,182.18,125.42,169.25,11.94,9.87,0.4,81.59,6.35
Kota Payakumbuh,2017,17.88,10.22,7.82,35.91,18.03,19.65,19.41,41.02,66.58,73.28,172.9,255.95,274.48,153.95,58.59,146.0,210.57,17.98,9.87,0.38,80.69,4.42
Kota Payakumbuh,2018,22.17,20.52,8.46,29.72,26.13,20.28,26.03,53.35,88.06,274.3,66.05,288.77,272.03,187.15,209.74,263.6,59.59,5.94,9.18,0.39,72.76,3.29
Kota Payakumbuh,2019,27.67,7.46,10.61,38.61,24.75,24.31,16.3,37.33,92.81,275.1,195.49,255.3,131.32,150.68,70.36,237.25,205.37,10.38,8.63,0.36,65.27,4.14
Kota Payakumbuh,2020,16.48,24.47,13.7,46.2,21.15,16.57,28.39,59.92,73.12,208.28,117.25,50.39,275.24,179.9,158.75,118.08,244.47,16.11,4.0,0.45,79.22,3.7
Kota Payakumbuh,2021,27.9,21.26,12.75,33.0,23.5,17.03,22.24,44.46,94.81,134.76,249.39,209.1,299.04,299.13,123.16,79.38,175.09,5.99,5.44,0.32,80.21,3.06
Kota Payakumbuh,2022,19.31,26.21,13.71,41.42,19.4,27.03,32.32,61.49,100.0,137.3,127.59,62.78,256.35,83.8,186.36,113.0,139.38,5.75,3.51,0.38,67.38,6.46
Kota Payakumbuh,2023,18.65,18.98,14.04,35.02,27.75,19.24,21.5,35.7,80.87,231.49,163.81,114.4,261.22,218.86,83.35,280.19,119.36,14.61,9.85,0.42,68.95,3.51
Kota Payakumbuh,2024,19.9,24.61,13.32,43.4,28.1,28.79,18.99,59.63,81.22,274.28,52.91,64.88,112.25,149.0,222.91,195.4,210.7,8.63,8.0,0.46,80.1,4.73
Kota Sawahlunto,2014,59.54,66.45,33.12,130.08,66.91,59.07,84.9,109.86,94.34,271.77,68.11,200.95,194.18,83.25,248.75,183.37,223.2,16.23,5.22,0.3,72.78,4.32
Kota Sawahlunto,2015,68.01,64.32,28.31,151.3,53.49,66.44,92.77,140.28,90.69,244.97,148.12,221.65,66.81,89.68,90.84,199.1,267.74,6.53,5.52,0.35,81.07,7.89
Kota Sawahlunto,2016,100.44,78.14,40.25,163.37,77.33,110.27,61.16,189.43,65.61,210.51,169.98,78.62,73.73,287.32,76.08,141.51,135.58,12.41,5.71,0.43,77.6,4.35
Kota Sawahlunto,2017,64.49,67.04,46.05,163.92,97.33,107.81,94.09,143.48,82.3,71.03,200.01,145.96,299.72,269.9,86.38,251.78,242.44,6.58,8.47,0.43,61.2,2.48
Kota Sawahlunto,2018,118.91,60.79,43.53,149.35,73.46,83.18,83.24,127.9,75.75,90.41,122.92,164.06,131.66,276.76,269.28,180.82,190.34,16.51,5.92,0.46,81.26,2.54
Kota Sawahlunto,2019,100.47,58.94,56.99,134.33,101.71,97.47,78.53,137.81,76.6,274.64,223.75,142.26,237.05,297.88,182.05,79.19,270.71,14.77,8.17,0.36,76.12,5.54
Kota Sawahlunto,2020,112.67,45.98,62.15,150.43,89.95,69.58,73.1,199.38,97.74,201.61,265.03,80.26,251.67,102.08,166.82,82.27,181.95,9.01,8.85,0.3,69.48,5.6
Kota Sawahlunto,2021,68.07,41.69,47.2,166.46,93.77,102.23,106.52,134.88,78.16,52.3,244.96,154.74,264.51,138.86,76.68,184.21,179.41,11.96,9.74,0.4,76.94,4.51
Kota Sawahlunto,2022,121.05,86.86,51.9,203.07,76.8,69.39,120.79,246.62,100.0,75.37,59.9,237.79,299.41,217.3,212.39,284.14,194.47,6.8,4.86,0.3,67.33,4.59
Kota Sawahlunto,2023,126.34,70.59,57.08,166.57,108.18,137.03,164.31,307.46,89.5,215.88,170.13,67.75,110.37,170.95,267.0,127.09,237.33,5.35,9.29,0.46,79.51,2.32
Kota Sawahlunto,2024,107.42,61.69,40.94,171.21,95.79,114.03,134.27,226.49,75.7,51.27,76.23,70.05,60.09,154.6,257.05,267.39,291.17,5.87,9.7,0.49,79.63,5.1
Kota Solok,2014,58.54,17.17,20.37,66.38,35.67,34.03,48.39,106.26,86.9,90.2,110.51,138.69,152.8,139.45,206.51,241.02,68.39,13.67,4.03,0.46,75.9,5.03
Kota Solok,2015,52.1,23.65,20.93,90.79,40.16,45.74,58.82,106.28,92.34,187.18,296.67,285.43,82.52,198.45,68.82,111.95,63.36,5.93,4.03,0.3,75.77,2.9
Kota Solok,2016,37.0,47.56,24.95,73.13,48.95,54.79,35.11,83.17,64.64,222.97,85.62,217.14,55.61,193.9,78.1,59.09,284.39,17.1,6.22,0.41,70.82,2.62
Kota Solok,2017,37.13,30.12,19.26,65.3,58.72,63.1,57.11,118.09,63.89,212.99,174.72,219.67,140.11,90.36,62.33,75.46,182.47,8.63,9.72,0.34,83.79,2.74
Kota Solok,2018,67.33,58.26,30.87,88.88,56.52,62.68,42.21,127.63,80.59,106.07,204.54,140.48,245.93,167.93,114.37,232.12,203.73,19.72,4.33,0.46,82.7,2.61
Kota Solok,2019,80.86,42.14,40.79,113.75,47.92,60.93,70.89,102.91,75.39,228.04,225.62,198.42,191.55,188.37,83.92,99.92,170.61,14.61,7.67,0.33,74.13,5.66
Kota Solok,2020,62.49,21.35,21.03,98.27,80.31,51.22,68.14,101.9,69.66,109.31,189.91,52.53,128.19,192.57,115.01,142.82,73.41,9.83,8.94,0.45,62.38,3.18
Kota Solok,2021,40.52,38.62,32.73,83.41,50.75,55.04,75.58,156.96,86.55,131.35,52.44,209.02,213.59,102.53,146.26,175.42,242.02,5.67,8.33,0.37,69.81,3.51
Kota Solok,2022,87.09,65.87,35.8,107.01,81.15,56.79,71.0,123.35,68.33,236.62,131.62,278.32,108.0,235.57,285.75,231.37,236.81,14.85,4.68,0.34,82.96,3.04
Kota Solok,2023,55.47,26.55,19.13,75.0,43.29,68.76,47.24,143.69,69.15,212.41,179.43,203.14,53.6,56.3,202.59,78.31,127.93,13.72,6.06,0.42,72.92,7.75
Kota Solok,2024,63.32,42.12,46.76,145.47,93.44,70.08,87.9,145.78,90.74,262.31,71.97,268.42,241.09,138.71,258.74,151.59,126.56,12.46,4.43,0.42,64.65,7.13
Kota Pariaman,2014,20.08,9.5,8.89,48.91,25.06,23.44,30.12,61.06,63.39,214.4,137.66,230.99,205.94,245.05,227.59,171.27,259.46,9.98,7.86,0.45,76.37,3.38
Kota Pariaman,2015,32.11,17.78,10.97,41.51,17.76,19.3,30.22,34.23,75.39,192.08,58.3,80.14,240.58,190.97,78.13,185.21,68.09,11.25,6.66,0.31,84.33,3.97
Kota Pariaman,2016,23.15,14.27,10.92,35.52,30.69,34.91,21.73,59.03,94.05,73.42,69.64,275.61,59.73,115.29,233.98,254.59,270.28,16.13,8.94,0.38,67.57,3.26
Kota Pariaman,2017,31.86,24.5,10.99,44.11,35.38,33.61,36.92,65.27,100.0,141.93,149.23,66.61,259.28,223.74,118.77,92.92,114.17,10.9,7.13,0.43,61.96,4.95
Kota Pariaman,2018,34.42,13.44,17.93,52.02,39.31,20.99,25.48,64.5,76.05,116.3,83.18,183.49,204.88,191.85,209.78,251.96,198.25,9.45,8.0,0.45,62.56,2.12
Kota Pariaman,2019,31.47,18.13,20.16,58.98,35.4,35.76,30.49,80.14,93.76,111.0,191.89,85.53,190.85,249.06,135.24,223.22,284.0,15.42,8.1,0.47,66.85,6.03
Kota Pariaman,2020,28.04,19.83,15.67,69.87,43.55,39.91,40.52,73.29,81.43,293.25,222.37,52.93,206.15,233.76,299.42,188.97,219.53,19.21,6.47,0.38,64.08,5.14
Kota Pariaman,2021,42.41,21.62,12.53,69.42,24.73,41.66,48.18,70.31,67.92,148.27,250.15,155.51,266.11,202.53,115.89,224.88,153.61,8.52,7.93,0.46,73.66,7.39
Kota Pariaman,2022,28.41,27.14,23.21,77.33,31.85,48.62,41.94,75.45,64.3,273.01,100.04,123.76,196.73,172.04,119.78,153.0,222.38,6.98,9.06,0.33,67.74,2.99
Kota Pariaman,2023,41.6,26.07,19.97,50.03,36.12,34.94,40.74,84.74,64.69,207.78,91.87,171.5,195.24,83.3,282.67,84.6,135.99,5.18,7.72,0.31,73.72,6.82
Kota Pariaman,2024,29.83,19.47,18.51,53.28,39.55,32.06,24.39,81.44,70.6,248.7,76.14,194.3,297.67,115.33,56.16,216.44,119.31,9.29,6.03,0.44,68.31,6.75
Kota Dumai,2014,62.73,36.84,26.96,84.93,38.68,45.76,56.49,71.07,89.84,175.66,209.11,60.93,239.18,154.77,224.17,181.17,299.17,9.17,4.93,0.39,84.51,2.76
Kota Dumai,2015,50.18,22.45,32.55,69.82,46.37,57.42,56.32,94.01,98.91,194.23,226.62,80.75,160.57,199.82,231.33,209.84,237.7,10.2,5.78,0.35,65.13,4.39
Kota Dumai,2016,44.94,27.9,29.34,105.16,56.81,38.15,38.1,138.25,72.87,173.13,57.9,189.66,226.85,178.43,259.09,134.5,211.18,9.46,3.64,0.42,75.59,3.02
Kota Dumai,2017,48.12,19.56,37.3,85.46,63.63,64.79,61.12,99.69,71.28,98.81,284.05,135.79,147.31,122.05,293.61,276.72,138.82,9.07,7.18,0.47,83.67,3.53
Kota Dumai,2018,41.19,51.53,30.97,102.82,42.89,56.62,60.67,119.84,63.61,230.61,62.99,232.29,107.22,51.62,293.9,196.84,62.29,11.12,3.11,0.42,66.33,3.58
Kota Dumai,2019,78.01,35.82,36.66,87.21,66.64,78.78,43.91,80.36,65.4,120.19,185.32,213.07,199.21,174.06,66.32,71.35,57.76,11.5,3.65,0.45,82.86,5.34
Kota Dumai,2020,51.83,38.48,35.48,82.73,65.45,66.43,67.43,102.28,85.88,56.08,227.27,261.4,282.05,121.41,255.46,162.45,188.55,15.71,3.64,0.34,81.94,4.47
Kota Dumai,2021,47.43,35.02,28.41,106.25,58.37,49.72,68.26,162.15,66.68,211.37,267.74,223.12,282.28,233.65,211.58,239.09,240.51,14.1,7.71,0.32,83.79,7.69
Kota Dumai,2022,91.0,66.69,48.71,128.26,60.51,81.5,87.86,175.22,100.0,94.28,228.52,157.48,135.48,55.99,211.84,248.53,184.34,12.82,3.48,0.37,83.02,2.76
Kota Dumai,2023,74.23,37.1,33.02,139.71,80.41,86.25,70.18,157.33,90.73,285.11,250.43,218.24,181.92,196.21,82.09,173.65,260.2,8.73,7.94,0.39,71.06,7.84
Kota Dumai,2024,99.3,28.93,46.79,117.57,74.05,52.41,66.73,154.13,83.95,288.48,134.86,118.85,102.91,285.37,212.55,273.69,58.36,5.84,6.44,0.49,62.63,3.38
Kota Pekanbaru,2014,183.03,84.07,64.11,238.9,118.37,131.11,184.03,416.15,83.37,278.72,253.71,126.58,298.91,93.6,295.62,116.92,141.69,17.21,7.8,0.32,67.23,6.64
Kota Pekanbaru,2015,143.55,116.57,88.18,270.68,155.48,210.0,205.49,300.39,62.19,142.54,70.03,247.25,295.28,167.91,277.95,152.65,109.27,18.71,9.67,0.37,68.86,4.03
Kota Pekanbaru,2016,236.25,167.51,67.1,291.22,189.06,182.95,145.31,452.47,99.48,53.86,273.7,161.6,212.38,72.86,159.78,274.65,161.82,15.15,8.87,0.47,78.71,2.86
Kota Pekanbaru,2017,202.86,83.18,105.4,274.49,213.36,154.87,140.76,293.55,79.94,282.08,186.9,249.6,251.1,206.42,59.99,274.06,68.09,5.03,8.03,0.45,72.87,7.15
Kota Pekanbaru,2018,134.04,64.22,72.11,357.62,153.59,167.53,136.74,302.43,72.35,157.05,254.32,255.61,228.78,187.63,140.57,221.43,288.53,12.79,7.25,0.35,61.44,3.85
Kota Pekanbaru,2019,166.13,96.86,131.91,352.17,209.57,190.57,192.35,414.83,80.61,291.66,163.08,264.39,198.29,151.84,256.6,264.75,105.81,15.45,7.92,0.33,72.5,5.95
Kota Pekanbaru,2020,262.33,158.68,107.46,296.68,225.18,156.68,187.54,320.56,84.83,290.9,210.89,279.16,63.34,180.34,225.37,72.19,280.58,15.38,4.44,0.38,82.39,5.4
Kota Pekanbaru,2021,204.38,124.6,69.0,378.55,144.91,199.83,211.55,441.46,100.0,263.25,181.6,157.75,163.69,274.14,164.84,266.25,156.47,15.33,4.77,0.3,78.09,4.83
Kota Pekanbaru,2022,287.72,207.06,144.43,389.42,208.98,280.74,227.42,370.89,92.1,123.61,232.9,129.72,218.7,99.07,63.78,130.15,296.38,17.82,9.18,0.39,61.89,4.97
Kota Pekanbaru,2023,277.09,215.37,92.45,317.57,288.44,213.47,236.88,604.75,78.58,146.27,70.41,195.55,219.38,55.64,156.72,94.58,188.51,6.0,7.54,0.31,69.39,6.39
Kota Pekanbaru,2024,266.66,278.51,145.01,431.79,226.97,251.23,255.32,397.61,90.36,262.78,65.09,142.79,143.28,265.42,167.26,109.84,282.71,10.54,6.25,0.44,76.42,2.53
Kota Jambi,2014,71.05,67.79,43.3,117.01,105.29,103.44,90.35,124.46,96.44,129.23,111.78,200.27,285.42,194.28,282.14,154.49,51.34,16.5,7.09,0.46,78.79,6.01
Kota Jambi,2015,94.62,39.91,52.08,163.33,108.59,72.92,74.48,235.65,98.63,92.37,89.89,226.4,91.84,272.66,210.27,112.8,237.06,16.25,9.36,0.45,74.93,7.37
Kota Jambi,2016,123.29,70.41,53.27,140.74,96.2,112.02,82.95,156.93,85.44,189.2,267.95,222.1,175.09,199.24,127.91,130.14,275.76,9.71,4.69,0.34,70.62,2.35
Kota Jambi,2017,107.58,49.11,38.44,192.47,98.71,130.05,118.47,256.46,99.47,284.04,104.8,143.64,222.72,252.54,181.33,83.74,84.93,9.08,7.85,0.35,83.48,2.84
Kota Jambi,2018,95.27,55.35,42.83,193.83,87.66,114.75,90.97,239.09,62.67,224.01,293.97,91.72,224.28,157.42,66.51,124.04,74.03,17.22,8.45,0.45,64.69,6.3
Kota Jambi,2019,111.68,57.08,47.08,133.51,82.8,67.95,123.52,163.46,78.49,192.52,134.22,157.63,212.16,237.46,293.14,193.07,156.14,13.36,3.27,0.43,68.08,4.62
Kota Jambi,2020,159.01,69.5,80.04,252.32,153.73,155.37,105.18,265.56,100.0,74.29,95.53,85.65,118.82,278.26,140.01,160.46,283.42,6.01,3.66,0.5,68.17,4.42
Kota Jambi,2021,153.31,115.24,84.76,190.2,88.28,119.75,95.89,173.52,86.76,203.75,247.42,272.52,89.05,193.03,169.47,136.68,185.6,10.41,8.49,0.41,67.82,2.82
Kota Jambi,2022,105.97,44.24,75.88,225.68,151.58,89.36,158.02,278.6,100.0,297.51,214.68,136.47,208.99,95.2,138.82,236.61,181.86,13.45,7.37,0.47,74.67,5.04
Kota Jambi,2023,173.51,109.54,62.85,235.97,121.08,107.11,139.18,336.12,97.86,85.02,174.55,88.61,199.83,117.2,220.63,273.38,85.28,18.94,5.39,0.41,65.29,2.76
Kota Jambi,2024,207.78,120.56,94.62,284.75,167.09,110.47,152.57,351.3,80.23,179.58,188.84,56.36,94.84,99.66,215.56,239.2,50.2,15.16,5.61,0.49,64.18,4.86
Kota Sungai Penuh,2014,84.88,57.45,31.89,107.84,81.82,79.99,58.98,170.56,62.26,269.34,229.8,211.46,226.28,111.71,228.83,133.0,252.54,11.83,7.67,0.47,64.24,6.58
Kota Sungai Penuh,2015,90.86,56.67,43.4,144.95,92.07,100.15,78.44,152.04,93.32,235.19,107.11,209.23,163.79,126.6,117.04,236.11,71.89,11.03,4.08,0.41,66.93,3.55
Kota Sungai Penuh,2016,91.1,62.89,38.98,118.08,59.37,81.9,62.41,184.93,100.0,224.25,299.08,135.15,216.94,188.78,128.92,88.0,208.46,18.21,9.18,0.43,65.28,4.88
Kota Sungai Penuh,2017,114.65,42.35,52.8,138.98,109.57,121.4,62.61,230.66,93.06,225.62,293.7,67.93,259.34,197.0,81.31,82.58,278.65,14.34,9.81,0.39,81.18,7.95
Kota Sungai Penuh,2018,73.13,31.05,54.09,154.27,101.45,106.13,59.43,151.76,95.38,139.87,212.58,152.41,92.43,156.62,213.88,136.41,102.16,6.07,4.48,0.35,71.73,6.12
Kota Sungai Penuh,2019,65.01,39.41,33.87,175.55,103.88,116.19,85.01,150.96,79.41,123.4,99.89,127.8,54.79,203.86,59.95,251.93,216.32,16.97,5.28,0.36,65.81,7.05
